time;x;y;z;gforce
14:08:54:919;0.070;0.215;1.016;1.041
14:08:54:934;0.094;0.227;1.032;1.061
14:08:54:936;0.086;0.199;1.020;1.043
14:08:54:953;0.059;0.168;0.997;1.013
14:08:54:965;0.047;0.168;0.973;0.989
14:08:55:41;0.031;0.176;0.965;0.982
14:08:55:46;0.023;0.176;0.962;0.978
14:08:55:76;0.023;0.176;0.973;0.989
14:08:55:78;0.020;0.176;0.985;1.001
14:08:55:79;0.012;0.168;0.993;1.007
14:08:55:82;0.000;0.156;1.005;1.017
14:08:55:99;-0.004;0.149;1.008;1.019
14:08:55:101;0.000;0.152;1.016;1.028
14:08:55:103;0.004;0.152;1.012;1.024
14:08:55:143;0.008;0.152;1.005;1.016
14:08:55:145;0.008;0.160;1.001;1.013
14:08:55:146;0.012;0.160;1.008;1.021
14:08:55:171;0.012;0.156;1.005;1.017
14:08:55:176;0.008;0.152;1.001;1.012
14:08:55:201;0.004;0.149;1.001;1.012
14:08:55:212;0.008;0.149;0.997;1.008
14:08:55:226;0.012;0.160;0.997;1.010
14:08:55:247;0.020;0.180;0.989;1.005
14:08:55:257;0.020;0.180;0.981;0.998
14:08:55:278;0.016;0.176;0.985;1.001
14:08:55:316;0.012;0.164;1.001;1.014
14:08:55:334;-0.004;0.152;1.008;1.020
14:08:55:336;-0.004;0.145;1.016;1.027
14:08:55:346;-0.004;0.156;1.008;1.021
14:08:55:357;0.000;0.160;1.005;1.017
14:08:55:372;0.004;0.172;1.024;1.038
14:08:55:403;0.000;0.180;1.032;1.047
14:08:55:404;-0.012;0.180;1.032;1.048
14:08:55:417;-0.020;0.188;1.020;1.038
14:08:55:426;-0.039;0.176;1.008;1.024
14:08:55:447;-0.047;0.168;1.005;1.020
14:08:55:459;-0.023;0.172;1.016;1.031
14:08:55:481;-0.004;0.176;1.032;1.047
14:08:55:517;0.000;0.168;1.024;1.038
14:08:55:536;-0.012;0.168;1.005;1.019
14:08:55:538;-0.023;0.156;0.973;0.986
14:08:55:549;-0.035;0.137;0.965;0.976
14:08:55:560;-0.020;0.129;0.985;0.994
14:08:55:573;0.008;0.145;0.985;0.996
14:08:55:608;0.023;0.160;0.989;1.002
14:08:55:621;0.031;0.172;0.973;0.989
14:08:55:624;0.027;0.184;0.950;0.968
14:08:55:638;0.027;0.180;0.938;0.956
14:08:55:647;0.031;0.176;0.962;0.978
14:08:55:667;0.047;0.180;0.993;1.010
14:08:55:676;0.055;0.188;1.005;1.023
14:08:55:706;0.055;0.192;0.989;1.009
14:08:55:723;0.039;0.199;0.958;0.979
14:08:55:726;0.020;0.192;0.934;0.954
14:08:55:747;0.023;0.188;0.954;0.972
14:08:55:756;0.031;0.188;0.993;1.011
14:08:55:777;0.043;0.195;1.008;1.028
14:08:55:792;0.031;0.192;0.985;1.004
14:08:55:826;0.016;0.184;0.969;0.987
14:08:55:837;-0.004;0.180;0.950;0.967
14:08:55:840;-0.012;0.184;0.946;0.964
14:08:55:856;0.000;0.195;0.969;0.989
14:08:55:870;0.023;0.215;0.997;1.020
14:08:55:887;0.027;0.215;1.005;1.028
14:08:55:915;0.016;0.203;1.005;1.025
14:08:55:926;0.004;0.192;1.005;1.023
14:08:55:937;-0.004;0.184;1.001;1.017
14:08:55:953;0.008;0.195;1.005;1.023
14:08:55:970;0.020;0.223;1.005;1.029
14:08:55:976;0.023;0.227;1.005;1.030
14:08:56:12;0.020;0.223;1.008;1.033
14:08:56:14;0.008;0.203;1.008;1.029
14:08:56:43;0.000;0.192;1.005;1.023
14:08:56:57;0.000;0.184;1.001;1.017
14:08:56:60;0.008;0.195;0.993;1.012
14:08:56:79;0.016;0.211;0.985;1.008
14:08:56:91;0.016;0.215;0.981;1.005
14:08:56:118;0.012;0.207;0.977;0.999
14:08:56:134;0.004;0.192;0.985;1.003
14:08:56:149;0.000;0.180;0.989;1.005
14:08:56:164;0.000;0.188;0.989;1.007
14:08:56:185;0.016;0.199;0.985;1.005
14:08:56:231;0.027;0.219;0.981;1.006
14:08:56:233;0.023;0.219;0.973;0.998
14:08:56:243;0.016;0.207;0.977;0.999
14:08:56:245;0.012;0.195;0.989;1.008
14:08:56:254;0.016;0.195;1.001;1.020
14:08:56:256;0.023;0.203;1.005;1.025
14:08:56:276;0.027;0.215;0.993;1.016
14:08:56:309;0.027;0.219;0.977;1.002
14:08:56:311;0.020;0.215;0.973;0.997
14:08:56:327;0.016;0.207;0.977;0.999
14:08:56:337;0.012;0.207;0.997;1.018
14:08:56:356;0.012;0.207;1.008;1.030
14:08:56:387;0.008;0.211;0.993;1.015
14:08:56:422;0.004;0.203;0.981;1.002
14:08:56:436;0.000;0.199;0.973;0.994
14:08:56:454;0.008;0.199;0.981;1.001
14:08:56:472;0.012;0.207;0.985;1.007
14:08:56:487;0.012;0.207;0.989;1.010
14:08:56:709;0.012;0.207;0.985;1.007
14:08:56:711;0.012;0.203;0.973;0.994
14:08:56:713;0.012;0.207;0.965;0.988
14:08:56:717;0.016;0.203;0.965;0.987
14:08:56:719;0.016;0.207;0.977;0.999
14:08:56:722;0.023;0.207;0.997;1.018
14:08:56:723;0.027;0.207;1.001;1.022
14:08:56:726;0.023;0.211;0.989;1.011
14:08:56:727;0.023;0.219;0.985;1.009
14:08:56:729;0.020;0.215;0.985;1.008
14:08:56:731;0.016;0.211;0.985;1.008
14:08:56:733;0.012;0.211;0.981;1.004
14:08:56:749;0.016;0.211;0.981;1.004
14:08:56:751;0.020;0.211;0.985;1.008
14:08:56:753;0.023;0.203;0.985;1.006
14:08:56:756;0.023;0.195;0.985;1.005
14:08:56:790;0.023;0.192;0.977;0.996
14:08:56:793;0.023;0.195;0.969;0.989
14:08:56:815;0.023;0.199;0.958;0.978
14:08:56:817;0.020;0.203;0.958;0.979
14:08:56:819;0.023;0.203;0.962;0.983
14:08:56:846;0.023;0.207;0.969;0.992
14:08:56:858;0.023;0.211;0.977;1.000
14:08:56:860;0.020;0.203;0.985;1.006
14:08:56:880;0.012;0.199;0.993;1.013
14:08:56:886;0.008;0.195;0.997;1.016
14:08:56:906;0.008;0.199;0.993;1.013
14:08:56:918;0.008;0.203;0.989;1.010
14:08:56:958;0.016;0.211;0.993;1.015
14:08:56:975;0.020;0.207;0.989;1.011
14:08:56:980;0.012;0.195;0.989;1.008
14:08:56:990;0.004;0.188;0.997;1.014
